,Carrera,Edad,Trabajo,Beca,Genero,EstadoCivil,CantidadHijos,Prom_cAplazo,A/P,Desemp1R,Desemp2N,Desemp3RN
276,LA,24,S,N,M,Soltero,0,7.13,5.2,1,1,1
277,CPN,24,N,N,F,Soltero,0,5.35,3.3333333333333335,0,0,0
278,CPN,26,N,N,F,Soltero,0,7.03,4.333333333333333,1,1,1
279,CPN,24,N,N,M,Soltero,0,6.41,2.8333333333333335,0,0,0
280,LA,24,N,N,F,Soltero,0,8.88,6.0,1,1,1
281,CPN,23,N,N,F,Soltero,0,5.54,2.3333333333333335,0,0,0
282,CPN,23,N,N,F,Soltero,0,6.53,5.166666666666667,1,0,1
283,CPN,23,N,N,M,Soltero,0,8.47,5.5,1,1,1
284,CPN,23,N,N,F,Soltero,0,6.5,2.3333333333333335,0,0,0
285,CPN,24,N,N,M,Soltero,0,8.0,5.0,1,1,1
286,CPN,24,N,S,M,Soltero,0,6.05,4.166666666666667,1,0,0
287,CPN,24,S,N,F,Soltero,0,6.44,4.333333333333333,1,0,0
288,CPN,24,N,N,F,Soltero,0,6.35,3.8333333333333335,0,0,0
289,CPN,23,N,N,F,Soltero,0,7.06,4.666666666666667,1,1,1
290,LA,24,S,N,F,Soltero,0,6.83,3.1666666666666665,0,0,0
291,CPN,24,N,N,M,Soltero,0,6.26,4.0,1,0,0
292,LA,25,S,N,F,Soltero,0,7.08,4.666666666666667,1,1,1
293,CPN,26,N,N,F,Soltero,0,6.34,3.0,0,0,0
294,CPN,24,N,N,F,Soltero,0,7.88,5.0,1,1,1
295,LA,23,S,N,M,Soltero,0,7.69,4.0,1,1,1
296,CPN,23,N,N,M,Soltero,0,5.58,3.6666666666666665,0,0,0
297,CPN,25,N,N,F,Soltero,2,5.17,3.0,0,0,0
298,CPN,24,N,N,M,Soltero,0,5.9,2.8333333333333335,0,0,0
299,CPN,26,N,N,F,Soltero,0,5.63,0.8333333333333334,0,0,0
300,LA,24,N,N,F,Soltero,0,6.6,5.333333333333333,1,0,1
301,CPN,24,S,N,M,Soltero,0,6.54,5.166666666666667,1,0,1
302,CPN,24,N,N,F,Soltero,0,7.82,6.0,1,1,1
303,CPN,24,S,N,F,Soltero,0,5.54,2.1666666666666665,0,0,0
304,LA,24,S,N,F,Soltero,0,6.64,4.5,1,0,1
305,CPN,23,N,N,M,Soltero,0,5.92,2.8333333333333335,0,0,0
306,LA,25,N,S,F,Soltero,0,5.54,2.6666666666666665,0,0,0
307,CPN,24,N,N,M,Soltero,0,6.45,4.5,1,0,1
308,CPN,23,N,N,F,Soltero,0,6.03,3.5,0,0,0
309,CPN,24,S,N,F,Soltero,0,7.0,4.666666666666667,1,1,1
310,CPN,25,N,N,F,Soltero,0,7.73,2.5,0,1,0
311,CPN,28,S,N,M,Soltero,0,5.04,1.8333333333333333,0,0,0
312,CPN,23,N,N,F,Soltero,0,7.97,5.666666666666667,1,1,1
313,LA,24,S,N,M,Soltero,0,7.44,4.666666666666667,1,1,1
314,LA,24,S,N,F,Soltero,0,5.38,2.3333333333333335,0,0,0
315,LA,23,S,N,M,Casado,1,7.56,5.0,1,1,1
316,CPN,26,S,N,M,Soltero,0,6.2,4.666666666666667,1,0,1
317,LA,24,N,N,F,Soltero,0,6.85,3.0,0,0,0
318,CPN,24,N,N,F,Soltero,0,6.6,5.166666666666667,1,0,1
319,CPN,24,N,N,F,Soltero,0,6.78,5.333333333333333,1,0,1
320,CPN,23,N,S,F,Soltero,0,7.9,4.5,1,1,1
321,LA,27,S,N,M,Soltero,0,7.94,6.0,1,1,1
322,CPN,23,N,N,F,Soltero,0,5.63,3.5,0,0,0
323,LLO,24,S,N,M,Soltero,0,4.67,1.3333333333333333,0,0,0
324,CPN,23,S,N,F,Soltero,0,8.06,5.0,1,1,1
325,CPN,26,S,N,M,Soltero,0,4.56,1.8333333333333333,0,0,0
326,CPN,26,N,N,F,Soltero,0,6.72,4.0,1,0,0
327,LA,24,N,N,F,Soltero,0,7.32,6.0,1,1,1
328,CPN,24,N,N,M,Soltero,0,7.24,5.333333333333333,1,1,1
329,CPN,23,S,N,F,Soltero,0,8.0,4.333333333333333,1,1,1
330,CPN,23,N,N,M,Soltero,0,6.0,2.6666666666666665,0,0,0
331,CPN,24,N,N,F,Soltero,0,6.7,5.666666666666667,1,0,1
332,LE,24,N,N,M,Soltero,0,7.07,4.166666666666667,1,1,1
333,CPN,23,N,N,F,Soltero,0,6.5,3.0,0,0,0
334,LA,24,N,N,F,Soltero,0,7.9,5.333333333333333,1,1,1
335,CPN,25,N,N,F,Soltero,0,5.87,2.1666666666666665,0,0,0
336,LA,23,N,S,F,Soltero,3,7.31,5.333333333333333,1,1,1
337,CPN,23,N,S,F,Soltero,3,5.38,0.8,0,0,0
338,CPN,27,N,N,M,Soltero,0,6.16,2.5,0,0,0
339,LA,31,S,N,F,Casado,0,6.75,2.1666666666666665,0,0,0
340,CPN,26,N,N,M,Soltero,0,6.78,3.5,0,0,0
341,LA,23,N,N,F,Soltero,0,8.47,6.0,1,1,1
342,LE,23,N,N,M,Soltero,0,7.35,4.666666666666667,1,1,1
343,LA,24,N,N,F,Soltero,0,7.23,5.666666666666667,1,1,1
344,CPN,24,N,N,F,Soltero,0,6.0,3.0,0,0,0
345,CPN,24,N,N,M,Soltero,0,6.15,4.5,1,0,0
346,LA,25,S,N,M,Soltero,0,7.49,5.333333333333333,1,1,1
347,CPN,28,N,N,F,Soltero,3,7.12,6.166666666666667,1,1,1
348,CPN,24,N,N,F,Soltero,0,8.0,5.666666666666667,1,1,1
349,CPN,23,S,N,M,Soltero,0,6.11,4.333333333333333,1,0,0
350,LA,24,N,N,F,Soltero,0,7.97,5.5,1,1,1
351,LA,23,S,N,M,Soltero,0,7.6,1.5,0,1,0
352,CPN,24,N,N,F,Soltero,0,6.41,5.833333333333333,1,0,1
353,CPN,24,N,N,F,Soltero,0,5.9,4.0,1,0,0
354,CPN,24,N,N,F,Soltero,0,6.0,3.5,0,0,0
355,CPN,23,N,S,F,Soltero,0,6.33,4.333333333333333,1,0,0
